20
10 14
0 4 16
0 9 -9
1 4 18
1 5 18
1 9 10
2 5 12
3 4 4
3 5 8
4 5 10
4 7 -10
4 9 2
5 7 8
5 9 8
6 9 4
10 14
1 2 -8
1 3 14
1 9 4
2 3 12
3 4 -4
3 8 12
3 9 20
4 5 2
4 6 12
4 8 20
4 9 10
5 7 4
6 7 10
6 9 18
10 14
0 2 -5
0 7 2
0 8 16
1 3 2
1 7 8
2 4 15
3 5 6
3 7 4
3 9 16
4 6 16
4 8 -19
5 9 14
6 7 2
8 9 9
10 14
0 2 14
0 3 16
0 9 17
1 2 6
1 4 18
1 5 -18
1 7 16
3 6 14
3 7 10
5 8 8
5 9 16
6 7 -20
6 8 16
7 8 12
10 14
0 2 16
0 3 6
0 5 17
0 7 16
1 2 20
1 4 16
1 9 -10
2 6 8
3 6 16
3 7 -8
3 8 6
4 8 4
5 8 18
5 9 3
10 14
0 1 -4
1 5 -4
1 6 2
1 7 8
2 3 10
2 6 14
2 7 10
3 4 2
3 7 12
3 8 12
4 6 2
4 8 14
5 7 6
5 8 10
10 14
1 5 14
2 6 20
2 9 8
3 4 6
3 6 -8
3 7 6
3 9 12
4 9 -4
5 7 10
5 9 8
6 7 14
6 8 16
6 9 18
7 8 6
10 14
0 3 -15
0 6 20
0 8 4
1 2 12
1 5 -4
1 8 6
2 7 14
3 6 16
3 9 3
4 5 6
5 7 8
6 8 6
7 8 2
7 9 4
10 14
0 4 20
0 9 -11
1 2 -16
1 5 10
2 4 14
2 5 18
3 6 20
3 7 2
3 8 2
3 9 10
5 6 10
6 9 12
7 8 16
8 9 12
10 14
0 1 11
0 9 12
1 4 2
1 5 1
2 5 14
2 6 12
2 8 4
2 9 8
3 6 -8
3 9 4
4 8 10
5 7 16
5 9 -13
7 9 10
10 14
0 7 18
0 8 14
0 9 11
1 2 8
1 3 4
1 6 6
1 7 12
1 8 -18
2 4 10
3 4 6
3 8 8
5 8 12
5 9 -18
6 9 18
10 14
0 1 3
0 2 8
1 3 7
1 8 16
1 9 18
2 8 -6
2 9 10
3 5 8
3 8 18
3 9 -17
4 5 4
4 8 16
4 9 6
5 7 2
10 14
0 1 17
1 4 16
1 5 10
1 7 16
1 9 9
2 4 6
2 5 20
2 9 16
3 5 16
3 6 16
4 6 -2
5 7 2
6 8 8
7 8 -18
10 14
0 1 -20
0 9 -11
1 4 20
1 8 14
2 5 14
2 8 8
2 9 14
3 4 18
3 6 18
3 8 10
4 7 6
5 7 2
5 9 14
7 9 4
10 14
0 2 1
1 5 20
1 8 16
2 4 7
2 6 18
3 5 14
3 8 -14
4 5 10
4 6 6
4 9 7
5 7 6
5 8 -4
6 9 2
8 9 14
10 14
0 1 -7
0 7 20
0 9 14
1 2 -8
1 4 18
1 7 7
3 5 10
3 7 12
3 8 20
4 6 18
5 6 6
6 7 8
6 9 6
7 9 7
10 14
0 1 9
1 2 16
1 3 13
1 4 6
2 7 -12
3 5 12
3 7 4
3 8 3
3 9 16
4 5 -14
5 6 16
6 7 18
6 8 18
8 9 7
10 14
0 4 -20
0 6 17
0 9 16
1 2 12
1 3 14
1 4 6
1 5 12
1 6 6
1 9 6
2 6 14
2 8 10
2 9 14
6 9 -7
7 8 14
10 14
0 5 2
0 7 17
1 4 4
1 6 10
1 7 4
1 9 18
2 3 -20
2 8 20
2 9 6
3 8 -12
4 9 6
6 9 12
7 8 4
7 9 19
10 14
0 1 4
0 3 14
0 6 2
0 7 20
0 9 15
1 2 16
1 5 2
2 5 20
2 7 12
3 5 12
3 8 -14
4 8 -16
5 7 18
6 8 4
