100
11 90
0 1 13
0 2 11
0 3 17
0 4 29
0 5 25
0 6 38
0 7 42
0 8 40
0 9 48
1 0 13
1 2 5
1 3 17
1 4 16
1 5 28
1 6 30
1 7 33
1 8 44
1 9 44
2 0 14
2 1 12
2 3 6
2 4 12
2 5 17
2 6 23
2 7 33
2 8 37
2 9 43
3 0 16
3 1 17
3 2 7
3 4 7
3 5 19
3 6 21
3 7 28
3 8 32
3 9 32
4 0 28
4 1 18
4 2 15
4 3 5
4 5 10
4 6 17
4 7 18
4 8 22
4 9 25
5 0 32
5 1 24
5 2 21
5 3 18
5 4 13
5 6 5
5 7 15
5 8 17
5 9 22
6 0 30
6 1 32
6 2 22
6 3 21
6 4 16
6 5 10
6 7 14
6 8 18
6 9 23
7 0 42
7 1 38
7 2 27
7 3 27
7 4 20
7 5 14
7 6 11
7 8 13
7 9 18
8 0 41
8 1 38
8 2 31
8 3 29
8 4 29
8 5 20
8 6 18
8 7 7
8 9 14
9 0 53
9 1 40
9 2 41
9 3 35
9 4 30
9 5 23
9 6 15
9 7 15
9 8 13

10 90
0 1 5
0 2 14
0 3 19
0 4 29
0 5 31
0 6 36
0 7 38
0 8 48
0 9 49
1 0 14
1 2 5
1 3 12
1 4 16
1 5 29
1 6 27
1 7 37
1 8 44
1 9 46
2 0 12
2 1 5
2 3 8
2 4 13
2 5 16
2 6 20
2 7 30
2 8 36
2 9 42
3 0 22
3 1 19
3 2 6
3 4 10
3 5 16
3 6 15
3 7 20
3 8 33
3 9 38
4 0 28
4 1 20
4 2 18
4 3 14
4 5 7
4 6 13
4 7 17
4 8 25
4 9 28
5 0 26
5 1 25
5 2 23
5 3 11
5 4 11
5 6 10
5 7 15
5 8 19
5 9 26
6 0 32
6 1 30
6 2 22
6 3 20
6 4 15
6 5 11
6 7 6
6 8 15
6 9 17
7 0 39
7 1 38
7 2 28
7 3 22
7 4 22
7 5 19
7 6 10
7 8 13
7 9 18
8 0 47
8 1 36
8 2 33
8 3 31
8 4 20
8 5 20
8 6 13
8 7 12
8 9 11
9 0 46
9 1 49
9 2 42
9 3 30
9 4 34
9 5 20
9 6 22
9 7 16
9 8 13

10 90
0 1 12
0 2 13
0 3 19
0 4 20
0 5 30
0 6 35
0 7 42
0 8 40
0 9 51
1 0 12
1 2 5
1 3 12
1 4 23
1 5 24
1 6 34
1 7 30
1 8 38
1 9 47
2 0 13
2 1 7
2 3 6
2 4 15
