10
100 1050
0 3 7
0 18 2
0 26 4
0 29 10
0 38 1
0 40 9
0 42 1
0 45 9
0 46 2
0 49 8
0 57 2
0 59 9
0 60 1
0 64 2
0 65 2
0 67 10
0 73 5
0 89 3
0 91 1
0 94 3
0 97 5
1 2 8
1 7 -2
1 8 7
1 10 2
1 19 3
1 24 8
1 28 6
1 29 6
1 31 7
1 33 7
1 34 8
1 40 2
1 41 6
1 61 2
1 66 10
1 68 2
1 72 10
1 76 6
1 78 7
1 88 4
2 3 -1
2 9 8
2 10 -9
2 15 -4
2 22 3
2 33 9
2 37 6
2 43 9
2 44 3
2 45 10
2 54 1
2 56 2
2 60 6
2 62 8
2 66 10
2 74 2
2 75 4
2 96 2
2 97 4
3 6 8
3 21 1
3 23 7
3 27 6
3 32 4
3 36 7
3 39 5
3 40 6
3 45 3
3 51 4
3 54 8
3 61 6
3 62 2
3 64 5
3 66 2
3 68 -10
3 72 8
3 77 10
3 84 4
3 86 6
3 91 3
3 94 -3
4 6 5
4 17 9
4 34 7
4 39 3
4 49 6
4 57 9
4 58 5
4 60 8
4 61 -8
4 66 7
4 72 8
4 73 -5
4 81 1
4 86 2
4 91 1
5 10 7
5 11 5
5 29 6
5 32 -3
5 43 10
5 46 9
5 49 6
5 54 10
5 56 6
5 73 3
5 74 9
5 76 9
5 81 -3
5 87 8
5 90 5
6 9 2
6 16 4
6 22 2
6 25 9
6 26 5
6 29 10
6 38 5
6 51 4
6 59 10
6 65 4
6 70 8
6 72 2
6 85 10
6 86 6
6 94 8
6 96 1
7 9 10
7 22 3
7 28 6
7 35 2
7 38 1
7 45 2
7 46 5
7 50 5
7 51 6
7 52 6
7 69 8
7 73 9
7 74 1
7 78 6
7 79 10
7 80 -9
7 81 6
7 85 4
7 93 8
7 97 8
7 99 8
8 9 8
8 12 5
8 15 10
8 23 9
8 24 2
8 29 3
8 30 4
8 33 2
8 35 9
8 43 9
8 44 2
8 47 2
8 49 1
8 52 5
8 59 9
8 60 8
8 68 6
8 70 10
8 77 9
8 83 4
8 84 3
8 85 10
8 90 5
8 98 5
9 10 1
9 14 8
9 25 4
9 30 2
9 31 4
9 32 1
9 37 3
9 38 9
9 40 9
9 51 4
9 59 5
9 60 2
9 63 5
9 65 3
9 69 1
9 70 8
9 78 2
9 79 6
9 81 3
9 86 6
9 93 6
9 97 5
10 15 8
10 18 7
10 20 2
10 21 4
10 23 7
10 24 2
10 33 3
10 37 5
10 39 2
10 44 4
10 49 5
10 50 2
10 54 6
10 55 -7
10 59 2
10 76 6
10 78 3
10 84 6
10 85 6
10 91 9
10 99 8
11 27 3
11 29 -5
11 36 10
11 39 2
11 44 7
11 45 5
11 49 7
11 50 1
11 66 4
11 69 7
11 71 10
11 79 7
11 85 -1
11 89 5
11 92 7
11 98 1
12 14 2
12 15 8
12 16 8
12 21 10
12 36 9
12 38 5
12 53 1
12 57 -5
12 60 9
12 63 4
12 78 2
12 80 6
12 81 7
12 84 1
12 87 7
12 88 4
12 98 5
13 17 7
13 18 4
13 21 4
13 22 7
13 23 6
13 26 8
13 29 3
13 32 6
13 39 2
13 47 3
13 53 3
13 54 10
13 56 10
13 57 4
13 59 9
13 72 6
13 75 -8
13 76 10
13 80 3
13 81 7
13 83 6
13 88 9
13 91 4
13 93 10
13 97 7
14 23 4
14 27 -2
14 33 3
14 38 10
14 43 10
14 49 7
14 51 4
14 53 10
14 61 7
14 63 8
14 64 2
14 85 2
14 86 9
14 92 1
14 97 6
15 16 9
15 18 9
15 23 6
15 25 -2
15 30 2
15 35 10
15 37 2
15 39 5
15 40 4
15 47 5
15 48 2
15 52 1
15 57 10
15 59 10
15 61 2
15 63 6
15 64 1
15 74 10
15 78 4
15 83 9
15 84 10
15 88 8
15 92 8
15 95 7
15 96 7
15 99 9
16 17 7
16 24 5
16 30 2
16 32 3
16 33 2
16 36 1
16 41 10
16 43 7
16 46 4
16 47 -10
16 48 4
16 56 10
16 57 10
16 59 3
16 63 3
16 69 5
16 70 6
16 72 3
16 74 9
16 83 8
16 87 7
16 88 9
16 89 6
16 99 8
17 34 4
17 36 4
17 37 6
17 38 10
17 39 10
17 46 5
17 50 6
17 54 5
17 57 7
17 59 3
17 70 6
17 73 4
17 84 5
17 86 10
17 92 5
17 93 9
18 28 2
18 34 1
18 35 7
18 37 4
18 38 7
18 40 9
18 50 5
18 57 -4
18 59 9
18 60 2
18 61 2
18 67 2
18 68 5
18 73 6
18 77 10
18 82 5
18 86 8
18 88 5
18 92 5
18 95 8
19 24 5
19 25 7
19 26 9
19 28 9
19 41 6
19 44 -8
19 45 4
19 47 6
19 52 1
19 63 9
19 67 10
19 72 7
19 76 9
19 80 9
19 84 10
19 88 7
19 92 9
20 21 7
20 23 3
20 24 1
20 25 6
20 30 5
20 31 9
20 37 4
20 50 8
20 51 -7
20 52 10
20 53 2
20 55 3
20 58 8
20 69 5
20 70 2
20 71 4
20 74 10
20 75 3
20 82 8
20 91 1
20 94 6
21 23 3
21 29 3
21 30 5
21 49 7
21 52 10
21 56 1
21 58 4
21 74 7
21 81 1
21 82 8
21 88 4
21 90 8
21 98 6
21 99 1
22 24 2
22 42 9
22 46 -9
22 54 9
22 59 3
22 61 3
22 71 8
22 73 10
22 75 1
22 76 6
22 80 2
22 81 8
22 83 1
22 84 2
22 85 10
22 89 2
23 28 1
23 29 8
23 31 8
23 37 -8
23 42 6
23 45 2
23 46 6
23 51 9
23 53 3
23 54 10
23 64 4
23 65 3
23 68 10
23 70 4
23 74 4
23 87 9
23 90 1
23 91 6
23 98 -8
24 28 5
24 31 7
24 32 -7
24 37 5
24 40 10
24 41 1
24 42 9
24 50 9
24 51 7
24 53 -8
24 56 1
24 59 10
24 60 4
24 61 8
24 67 1
24 71 5
24 72 1
24 75 3
24 83 8
24 84 3
24 91 9
24 94 4
24 97 10
24 99 4
25 29 6
25 32 5
25 39 4
25 51 10
25 59 3
25 62 6
25 63 3
25 68 4
25 69 7
25 81 6
25 83 1
25 87 3
25 89 7
25 95 6
25 96 8
26 32 9
26 46 -3
26 48 4
26 51 6
26 57 9
26 64 4
26 69 6
26 72 6
26 75 6
26 76 8
26 79 9
26 80 2
26 88 3
26 96 8
27 31 -7
27 41 9
27 42 -4
27 54 6
27 56 1
27 62 3
27 65 9
27 66 5
27 73 10
27 76 7
27 86 9
27 87 9
27 91 1
28 30 4
28 34 5
28 35 6
28 36 3
28 37 -1
28 39 3
28 46 3
28 58 10
28 61 10
28 65 7
28 69 2
28 75 1
28 85 9
28 93 7
28 95 10
28 97 10
29 38 4
29 50 3
29 58 4
29 60 9
29 65 6
29 67 5
29 74 10
29 76 3
29 80 8
29 81 7
29 85 6
29 91 8
29 93 9
29 95 9
29 97 3
30 34 4
30 37 7
30 38 10
30 49 1
30 56 7
30 69 5
30 71 8
30 77 10
30 84 7
30 85 9
30 87 5
30 89 2
30 94 5
30 96 5
30 99 4
31 32 4
31 35 3
31 37 10
31 38 9
31 40 4
31 43 10
31 45 10
31 48 -2
31 51 10
31 58 2
31 64 1
31 66 3
31 72 10
31 85 10
31 86 5
31 87 8
31 91 9
31 93 1
32 38 6
32 41 1
32 42 -2
32 46 2
32 47 6
32 49 10
32 58 1
32 60 7
32 61 -6
32 65 5
32 70 7
32 73 2
32 75 5
32 76 8
32 98 8
33 34 2
33 36 7
33 40 7
33 47 1
33 51 7
33 53 -4
33 64 7
33 68 3
33 69 -5
33 70 6
33 77 4
33 82 6
33 83 4
33 85 7
33 92 5
33 95 2
33 99 10
34 43 6
34 51 5
34 57 8
34 58 3
34 62 6
34 65 3
34 69 5
34 73 5
34 74 1
34 75 10
34 77 1
34 78 7
34 84 9
34 85 1
34 86 1
34 88 10
34 97 7
35 37 7
35 41 5
35 46 10
35 53 -5
35 56 2
35 57 10
35 59 10
35 60 8
35 63 8
35 68 5
35 74 6
35 81 6
35 85 1
35 86 8
35 95 3
36 40 5
36 42 1
36 51 2
36 58 5
36 59 5
36 63 10
36 69 1
36 70 2
36 72 1
36 80 5
36 91 10
36 96 9
37 47 3
37 49 7
37 50 3
37 53 2
37 54 9
37 65 9
37 66 7
37 68 7
37 82 4
37 88 6
37 93 8
37 95 3
38 53 10
38 59 10
38 60 5
38 63 10
38 66 3
38 69 1
38 72 4
38 73 1
38 82 8
38 86 2
38 89 8
38 90 4
38 94 10
39 40 10
39 45 3
39 47 7
39 53 1
39 57 7
39 58 7
39 61 7
39 64 5
39 66 7
39 67 1
39 68 10
39 82 4
39 92 4
39 96 8
40 44 10
40 54 3
40 60 7
40 71 5
40 87 9
40 92 8
40 93 4
40 97 4
40 99 5
41 44 10
41 45 8
41 47 5
41 59 -1
41 63 8
41 65 5
41 70 2
41 74 4
41 77 9
41 79 3
41 99 6
42 56 4
42 57 8
42 58 7
42 60 7
42 67 6
42 74 4
42 81 1
42 87 1
42 91 8
42 95 10
43 46 4
43 48 7
43 50 5
43 62 7
43 69 4
43 70 5
43 74 7
43 78 9
43 84 1
43 85 8
43 86 5
43 94 4
44 51 6
44 66 6
44 74 6
44 79 4
44 88 7
44 89 9
44 95 2
45 49 6
45 50 2
45 51 10
45 52 5
45 55 3
45 58 10
45 61 2
45 63 6
45 72 2
45 74 4
45 76 10
45 77 7
45 79 1
45 80 7
45 83 2
45 84 9
45 89 10
45 97 5
46 53 4
46 54 5
46 56 4
46 57 -7
46 58 9
46 59 1
46 61 10
46 62 6
46 67 9
46 73 3
46 74 7
46 77 9
46 78 9
46 98 9
47 57 2
47 58 8
47 61 2
47 62 3
47 69 6
47 95 4
47 97 -4
48 51 10
48 52 5
48 53 -5
48 54 9
48 66 6
48 70 9
48 71 3
48 91 10
48 95 9
49 50 9
49 56 -5
49 59 8
49 61 3
49 63 7
49 73 9
49 87 2
49 99 3
50 53 2
50 56 1
50 69 2
50 86 6
50 89 8
50 90 5
51 52 9
51 53 -7
51 54 7
51 59 6
51 65 10
51 71 3
51 75 3
51 77 5
51 81 6
51 85 8
51 86 1
51 91 9
51 94 4
52 53 10
52 55 9
52 61 2
52 62 4
52 63 7
52 65 10
52 72 2
52 74 4
52 75 6
52 81 3
52 85 10
52 93 4
52 98 4
53 76 7
53 79 6
53 87 5
53 98 7
54 61 3
54 65 8
54 67 9
54 72 3
54 77 5
54 82 3
54 88 2
54 90 5
55 77 3
55 81 -9
55 95 8
56 59 6
56 61 10
56 64 3
56 65 9
56 76 2
56 78 5
56 87 3
56 90 8
56 95 1
57 63 3
57 71 8
57 75 2
57 76 6
57 79 5
57 86 10
57 91 8
57 93 1
57 98 8
58 64 4
58 65 5
58 78 2
58 85 10
58 93 7
58 97 1
59 60 8
59 63 9
59 65 8
59 76 1
59 84 4
59 91 4
59 96 8
60 67 9
60 68 7
60 70 8
60 73 6
60 86 8
60 87 6
60 89 8
60 98 6
61 69 6
61 77 3
61 79 5
61 83 2
61 96 5
61 97 -2
62 66 6
62 70 3
62 77 3
62 78 4
62 91 1
63 64 7
63 65 7
63 71 7
63 77 7
63 78 2
63 81 9
63 90 6
64 65 3
64 69 9
64 72 9
64 76 7
64 80 6
64 81 10
64 84 1
64 86 8
64 92 1
64 97 10
64 99 5
65 68 6
65 71 5
65 83 7
65 88 10
65 91 5
65 92 2
65 94 10
66 69 4
66 80 5
66 81 3
66 82 8
66 85 6
66 98 5
67 69 3
67 71 8
67 78 9
67 83 10
67 84 10
67 85 4
67 89 10
67 99 1
68 74 8
68 80 5
68 87 10
68 93 6
68 94 2
68 97 1
69 76 6
69 80 7
69 84 3
69 86 10
69 87 2
69 88 4
69 92 10
69 96 7
69 99 -4
70 76 8
70 77 3
70 82 6
70 93 1
70 96 8
71 72 1
71 75 6
71 78 10
71 79 6
71 85 3
71 86 3
71 87 3
71 89 10
71 91 5
71 93 5
71 94 2
71 95 1
71 98 10
